CENTRALE;CODE_SOCIETE;LIBELLE_SOCIETE;CODE_CLIENT_BCP;POLE_AFFILIANT;FOURNISSEUR;NOM_FOURNISSEUR;REGROUPEMENT;CA_DECLARE_FRN;CA_FRN_CRF;TOTAL_CA_DECLARE_FRN;TOTAL_ENCAISSE;MTT_A_REVERSER_DIFF;MTT_A_REV_DIFF_HORS_SYN;MTT_A_REVERSER_BCP;ECART_MTT_A_REVERSER;MTT_PREVISION_AVEC_SYNERGIE;MTT_PREVISION_HORS_SYNERGIE;Cdfop;Norca;Cient;Cdprolog;Lbetblba;Activite;Code_Ent_BCP;Libelle_entrepot;SOURCES;Carpr;Mteca;_Ca_Bn;_Ristourne_Prolog;Ecart_CA;%CA;Ecart_Ristourne;%Ristourne;DATE
CAP;144;C.S.F.              ;31097;ENT GR;29380;ECKES GRANINI FRANCE;22;0;95136,16;0;192411,35;0;0;0;0;29073,61;22889,76;29380;22;104;104;TRAPPES BRASS MSES;LIQU;31097;TRAPPES BR;NR;95201,05;133,42;95067,63;29052,66773;-68,53;-0,000720336;-20,942272;-0,000720319;30/09/2022
CAP;144;C.S.F.              ;31097;ENT GR;30809;PAGO FRANCE         ;1;0;367114,37;0;2231436,92;0;0;0;0;146938,57;126747,27;30809;1;104;104;TRAPPES BRASS MSES;LIQU;31097;TRAPPES BR;NR;366823,24;45,13;366778,11;146804,2453;-336,26;-0,000915954;-134,324746;-0,000914156;30/09/2022
CAP;144;C.S.F.              ;31097;ENT GR;37193;DANONE              ;23;0;226246,21;0;1245304,89;0;0;0;0;65747,15;56697,32;37193;23;104;104;TRAPPES BRASS MSES;LIQU;31097;TRAPPES BR;NR;223353,62;-95,91;223449,53;64934,43342;-2796,68;-0,012361224;-812,716582;-0,012361244;30/09/2022
CAP;144;C.S.F.              ;31097;ENT GR;38947;EAUX DE MONT ROUCOUS;2;0;979437,97;0;398157,46;0;0;0;0;58668,32;16062,78;38947;2;104;104;TRAPPES BRASS MSES;LIQU;31097;TRAPPES BR;NR;954431,58;22045,59;932385,99;55849,9208;-47051,98;-0,048039775;-2818,399199;-0,048039542;30/09/2022
CAP;144;C.S.F.              ;31097;ENT GR;42863;HEINEKEN ENTREPRISE ;23;0;11237343,26;0;100963190,8;0;0;0;0;4663972,25;4326851,97;42863;23;104;104;TRAPPES BRASS MSES;LIQU;31097;TRAPPES BR;NR;11181491,58;-24353,03;11205844,61;4650936,413;-31498,65;-0,002803034;-13035,83712;-0,002795007;30/09/2022
CAP;144;C.S.F.              ;31097;ENT GR;43522;VITAKRAFT           ;2;0;30382,67;0;2368061,3;0;0;0;0;10566,58;8135,96;43522;2;104;104;TRAPPES BRASS MSES;LIQU;31097;TRAPPES BR;NR;31007,75;0;31007,75;10787,16685;625,08;0,02057357;220,58685;0,020875898;30/09/2022
CAP;144;C.S.F.              ;31097;ENT GR;49542;TERDIS              ;4;0;355817,78;0;383283,12;0;0;0;0;42698,15;37628,04;49542;4;104;104;TRAPPES BRASS MSES;LIQU;31097;TRAPPES BR;NR;355813,75;0;355813,75;42697,65;-4,03;-1,13E-05;-0,5;-1,17E-05;30/09/2022
CAP;144;C.S.F.              ;31097;ENT GR;52335;ETHIQUABLE          ;3;0;-30,77;0;2250765;0;0;0;0;-6,77;-5,85;52335;3;104;104;TRAPPES BRASS MSES;LIQU;31097;TRAPPES BR;NR;0;0;0;0;30,77;-1;6,77;-1;30/09/2022
CAP;144;C.S.F.              ;31097;ENT GR;55993;LA MARTINIQUAISE    ;26;0;5233,2;1433876,19;3959895,18;0;0;0;0;786,98;747,21;55993;26;104;104;TRAPPES BRASS MSES;LIQU;31097;TRAPPES BR;NR;5423,62;190,8;5232,82;786,921264;-0,38;-7,26E-05;-0,058736;-7,46E-05;30/09/2022
CAP;144;C.S.F.              ;31097;ENT GR;61888;AB INBEV FRANCE     ;3;0;5475622,49;5752672,27;37564538,14;0;0;0;0;1763294,56;1574385,58;61888;3;104;104;TRAPPES BRASS MSES;LIQU;31097;TRAPPES BR;NR;5472109,51;17769,77;5454339,74;1756401,849;-21282,75;-0,003886818;-6892,710974;-0,003908996;30/09/2022
CAP;144;C.S.F.              ;31097;ENT GR;67475;NW MARKETING DISTRIB;1;0;11175501,28;0;72198496,24;0;0;0;0;4371520,83;4036255,8;67475;1;104;104;TRAPPES BRASS MSES;LIQU;31097;TRAPPES BR;NR;11125109,87;-23184,4;11148294,27;4360878,27;-27207,01;-0,002434523;-10642,5604;-0,002434521;30/09/2022
CAP;144;C.S.F.              ;31097;ENT GR;68286;KRONENBOURG SAS     ;1;0;5918466,8;6458110,69;50515377,89;0;0;0;0;2048789,29;1930419,97;68286;1;104;104;TRAPPES BRASS MSES;LIQU;31097;TRAPPES BR;NR;5925451,88;1141,48;5924310,4;2050791,862;5843,6;0,00098735;2002,572162;0,000977442;30/09/2022
CAP;144;C.S.F.              ;31097;ENT GR;68466;FRUITS ET SAVEURS   ;1;0;43263,63;0;129943,2;0;0;0;0;7787,44;6056,89;68466;1;104;104;TRAPPES BRASS MSES;LIQU;31097;TRAPPES BR;NR;41034,3;-319,36;41353,66;7443,6588;-1909,97;-0,044147243;-343,7812;-0,044145599;30/09/2022
CAP;144;C.S.F.              ;31097;ENT GR;74747;PERNOD RICARD FRANCE;1;0;3500,76;6732038,54;47983429,8;0;0;0;0;1460,7;1408,2;74747;1;104;104;TRAPPES BRASS MSES;LIQU;31097;TRAPPES BR;NR;3505,71;0;3505,71;1462,756644;4,95;0,001413979;2,056644;0,001407985;30/09/2022
CAP;144;C.S.F.              ;31097;ENT GR;80235;RED BULL OFF PREMISE;1;0;2666122,88;1167320,96;12493904;0;0;0;0;808501,75;675195,61;80235;1;104;104;TRAPPES BRASS MSES;LIQU;31097;TRAPPES BR;NR;2665936,66;5748,32;2660188,34;806702,1141;-5934,54;-0,002225906;-1799,635895;-0,00222589;30/09/2022
CAP;144;C.S.F.              ;31097;ENT GR;81621;SOLINEST            ;50;0;83414,71;0;280248,9;0;0;0;0;14102,8;10766,2;81621;50;104;104;TRAPPES BRASS MSES;LIQU;31097;TRAPPES BR;NR;78299,87;3027,09;75272,78;12739,65567;-8141,93;-0,097607844;-1363,144328;-0,096657708;30/09/2022
CAP;144;C.S.F.              ;31097;ENT GR;81695;INTERNATIONAL BEERS ;1;0;489070,83;0;4389563,38;0;0;0;0;138163,08;122512,82;81695;1;104;104;TRAPPES BRASS MSES;LIQU;31097;TRAPPES BR;NR;487208,2;-107,15;487315,35;137671,554;-1755,48;-0,003589419;-491,5260326;-0,003557579;30/09/2022
CAP;144;C.S.F.              ;31097;ENT GR;82832;TEISSEIRE FRANCE SAS;1;0;2820157,19;552744,97;10110887,61;0;0;0;0;1029952,24;945347,53;82832;1;104;104;TRAPPES BRASS MSES;LIQU;31097;TRAPPES BR;NR;2826836,42;52043,59;2774792,83;1013305,724;-45364,36;-0,016085756;-16646,51585;-0,016162415;30/09/2022
CAP;144;C.S.F.              ;31097;ENT GR;85835;BIERES DE CHIMAY FR ;1;0;129656,18;0;1335751,93;0;0;0;0;44959,03;41587,96;85835;1;104;104;TRAPPES BRASS MSES;LIQU;31097;TRAPPES BR;NR;128988,98;2592,03;126396,95;43831,12477;-3259,23;-0,025137483;-1127,905235;-0,025087401;30/09/2022
CAP;144;C.S.F.              ;31097;ENT GR;87157;ASAHI FRANCE        ;1;0;14565,89;0;245000;0;0;0;0;6117,67;6117,67;87157;1;104;104;TRAPPES BRASS MSES;LIQU;31097;TRAPPES BR;NR;12490,39;-3763,92;16254,31;6120,366;1688,42;0,11591602;2,696;0,000440691;30/09/2022
CAP;144;C.S.F.              ;31097;ENT GR;89337;ECLOR BOISSONS      ;1;0;65470,7;0;437982,68;0;0;0;0;18537,39;16573,28;89337;1;104;104;TRAPPES BRASS MSES;LIQU;31097;TRAPPES BR;NR;64561,05;-53,44;64614,49;18294,53378;-856,21;-0,013077758;-242,856218;-0,013100885;30/09/2022
CAP;144;C.S.F.              ;31097;ENT GR;89337;ECLOR BOISSONS      ;7;0;115864,11;0;681753,22;0;0;0;0;34490,17;31014,24;89337;7;104;104;TRAPPES BRASS MSES;LIQU;31097;TRAPPES BR;NR;115402,29;-0,99;115403,28;34350,39958;-460,83;-0,003977332;-139,77042;-0,004052471;30/09/2022
CAP;144;C.S.F.              ;31097;ENT GR;89402;DUHCO FRANCE SA     ;1;0;339399,33;0;4119438,65;0;0;0;0;111697,32;102872,94;89402;1;104;104;TRAPPES BRASS MSES;LIQU;31097;TRAPPES BR;NR;341782,38;898,46;340883,92;112157,8778;1484,59;0,004374169;460,557833;0,004123267;30/09/2022
CAP;144;C.S.F.              ;31097;ENT GR;89459;OGEU DISTRIBUTION   ;1;0;317229,09;0;1843896,78;0;0;0;0;98214,12;79180,37;89459;1;104;104;TRAPPES BRASS MSES;LIQU;31097;TRAPPES BR;NR;312572,38;534,26;312038,12;96607,00195;-5190,97;-0,016363474;-1607,118048;-0,016363411;30/09/2022
CAP;144;C.S.F.              ;31097;ENT GR;95011;ANTESITE NOIROT SAS ;1;0;45220,43;0;141410,58;0;0;0;0;17342,72;14629,5;95011;1;104;104;TRAPPES BRASS MSES;LIQU;31097;TRAPPES BR;NR;45461;335,58;45125,42;17305,72349;-95,01;-0,002101041;-36,996506;-0,002133259;30/09/2022
CAP;144;C.S.F.              ;31097;ENT GR;97123;SOURCES ALMA FACTURA;1;0;1685602,56;0;5838754,74;0;0;0;0;578128,79;523515,27;97123;1;104;104;TRAPPES BRASS MSES;LIQU;31097;TRAPPES BR;NR;1664243,5;-12676,5;1676920;575150,413;-8682,56;-0,005151013;-2978,377017;-0,005151754;30/09/2022
